DATE:,2023/7/28 (Friday) ,,,,,,,,,
ASTEP:,3457,,,,,,,,,
ATIME:,103,,,,,,,,,
INTEGRATION TIME:,999.78 ms,,,,,,,,,
GAIN:,AS7341_GAIN_512x,,,,,,,,,
,,,,,,,,,,
Time,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR
11:04:30,16,117,136,268,385,478,534,242,1359,102
11:04:33,16,118,139,270,388,479,538,243,1367,105
11:04:36,14,118,139,270,388,483,537,245,1361,99
11:04:39,14,118,140,270,387,481,537,239,1367,105
11:04:42,17,118,140,268,386,480,537,244,1365,99
11:04:45,16,118,140,270,390,479,538,244,1363,99
11:04:48,17,117,141,271,389,482,538,246,1364,102
11:04:51,17,117,139,267,389,483,535,242,1368,99
11:04:54,16,119,139,269,390,482,538,244,1368,99
11:04:57,17,118,141,266,388,483,540,244,1364,99
11:05:00,16,117,139,265,388,480,536,242,1363,102
11:05:04,17,121,138,269,389,482,538,244,1359,102
11:05:07,17,119,140,269,388,482,537,242,1358,102
11:05:10,16,116,140,270,388,480,536,242,1358,99
11:05:13,16,116,138,265,387,481,537,243,1356,99
11:05:16,18,118,141,269,389,480,539,242,1358,99
11:05:19,13,118,140,264,385,479,537,243,1367,99
11:05:22,18,119,138,269,385,482,539,239,1367,93
11:05:25,18,118,139,268,388,483,538,242,1362,99
11:05:28,17,117,139,269,388,483,537,242,1367,102
11:05:31,16,118,139,269,388,483,539,243,1365,102
Average,16.28571429,117.8571429,139.2857143,268.3333333,387.7619048,481.1904762,537.3809524,242.7142857,1363.142857,100.2857143
