LED Status,Time,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/11 (Tuesday) 13:26:2,0,0,0,0,0,0,0,0,0.03,0.05,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:4,0,0,0,0,0,0,0,0,0.03,0.05,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:5,0,0,0,0,0,0,0,0,0.03,0.05,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:7,0,0,0,0,0,0,0,0,0.03,0.05,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:8,0,0,0,0,0,0,0,0,0.03,0.05,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:9,0,0,0,0,0,0,0,0,0.03,0.05,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:11,0,0,0,0,0,0,0,0,0.03,0.05,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:12,0,0,0,0,0,0,0,0,0.03,0.05,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:13,0,0,0,0,0,0,0,0,0.03,0.05,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:15,0,0,0,0,0,0,0,0,0.03,0.05,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:16,0,0,0,0,0,0,0,0,0.03,0.05,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:17,0,0,0,0,0,0,0,0,0.03,0.05,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:19,0,0,0,0,0,0,0,0,0.02,0.03,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:20,0,0.01,0.01,0.01,0.56,0.56,0.58,0.58,0.8,0.59,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:21,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:23,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:24,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:25,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:27,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:28,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:29,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:31,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:32,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
LED ON,2023/7/11 (Tuesday) 13:26:33,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,LED OFF
