LED Status,Time,F1 415nm (Basic Count),F2 445nm (Basic Count),F3 480nm (Basic Count),F4 515nm (Basic Count),F5 555nm (Basic Count),F6 590nm (Basic Count),F7 630nm (Basic Count),F8 680nm (Basic Count),Clear (Basic Count),NIR (Basic Count),F1 415nm (Raw Value),F2 445nm (Raw Value),F3 480nm (Raw Value),F4 515nm (Raw Value),F5 555nm (Raw Value),F6 590nm (Raw Value),F7 630nm (Raw Value),F8 680nm (Raw Value),Clear (Raw Value),NIR (Raw Value),
LED ON,2023/7/12 (Wednesday) 10:44:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:44:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/12 (Wednesday) 10:45:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LED OFF
