LED Status,Date,Time,Type,F1 (415nm),F2 (445nm),F3 (480nm),F4 (515nm),F5 (555nm),F6 (590nm),F7 (630nm),F8 (680nm),Clear (),NIR (),Type,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/24 (Monday) ,9:24:48,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/24 (Monday) ,9:24:49,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/24 (Monday) ,9:24:51,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/24 (Monday) ,9:24:52,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/24 (Monday) ,9:24:53,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/24 (Monday) ,9:24:54,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/24 (Monday) ,9:24:56,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/24 (Monday) ,9:24:57,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/24 (Monday) ,9:24:58,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/24 (Monday) ,9:25:00,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/24 (Monday) ,9:25:01,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/24 (Monday) ,9:25:02,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/24 (Monday) ,9:25:03,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/24 (Monday) ,9:25:05,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/24 (Monday) ,9:25:06,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
LED ON,2023/7/24 (Monday) ,9:25:07,BASIC COUNTS,0,0,0,0,0,0,0,0,0,0,RAW VALUES,0,0,0,0,0,0,0,0,0,0,LED OFF
