DATE:,2023/7/28 (Friday) ,,,,,,,,,
ASTEP:,3457,,,,,,,,,
ATIME:,103,,,,,,,,,
INTEGRATION TIME:,999.78 ms,,,,,,,,,
GAIN:,AS7341_GAIN_512x,,,,,,,,,
,,,,,,,,,,
Time,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR
9:23:11,13,122,115,244,338,427,378,145,960,18
9:23:14,13,124,115,247,343,430,380,142,970,12
9:23:17,12,121,116,247,340,424,373,144,960,12
9:23:20,11,123,114,247,339,425,375,144,959,12
9:23:23,12,123,115,245,340,428,375,140,960,12
9:23:26,13,123,114,245,338,428,376,141,961,12
9:23:29,13,122,115,246,338,427,376,140,959,12
9:23:32,13,122,117,243,340,427,372,145,960,18
9:23:36,10,122,117,248,340,427,373,141,961,15
9:23:39,11,119,116,247,336,426,377,145,961,12
9:23:42,12,122,116,243,339,428,377,141,961,15
9:23:45,11,121,116,248,338,428,374,144,960,12
9:23:48,10,122,114,243,336,427,377,142,958,12
9:23:51,13,121,114,247,338,429,377,142,964,15
9:23:54,13,122,115,246,336,426,369,143,956,15
9:23:57,14,122,115,242,337,426,374,141,956,12
9:24:00,13,123,114,246,336,424,375,145,953,9
9:24:03,12,122,115,243,336,423,373,141,955,15
9:24:06,13,121,115,246,334,425,376,143,955,12
9:24:09,13,121,112,246,338,426,377,143,954,18
9:24:13,10,120,112,245,334,425,371,143,954,12
Average,12.14285714,121.8095238,114.8571429,245.4285714,337.8095238,426.4761905,375,142.6190476,958.9047619,13.42857143
