LED Status,Date,Time,Type,F1 (415nm),F2 (445nm),F3 (480nm),F4 (515nm),F5 (555nm),F6 (590nm),F7 (630nm),F8 (680nm),Clear (),NIR (),Type,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/21 (Friday) ,14:22:30,BASIC COUNTS,0.38,0.56,0.79,0.97,1.03,1.16,1.54,1.52,6.4,1.68,RAW VALUES,152,226,315,389,411,463,618,610,2563,673,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:31,BASIC COUNTS,0.38,0.56,0.78,0.97,1.02,1.15,1.54,1.52,6.37,1.67,RAW VALUES,152,225,313,387,409,461,616,607,2551,670,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:32,BASIC COUNTS,0.38,0.56,0.78,0.96,1.02,1.14,1.53,1.51,6.34,1.66,RAW VALUES,151,224,311,385,407,458,613,604,2537,666,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:34,BASIC COUNTS,0.37,0.56,0.77,0.96,1.01,1.14,1.52,1.5,6.29,1.65,RAW VALUES,150,223,310,383,405,455,609,600,2520,661,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:35,BASIC COUNTS,0.37,0.56,0.77,0.96,1.01,1.14,1.52,1.5,6.3,1.65,RAW VALUES,150,223,310,383,405,456,609,600,2522,661,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:36,BASIC COUNTS,0.37,0.56,0.77,0.96,1.01,1.14,1.52,1.5,6.3,1.65,RAW VALUES,150,223,310,383,405,456,610,601,2524,662,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:37,BASIC COUNTS,0.37,0.56,0.77,0.96,1.01,1.14,1.52,1.5,6.31,1.65,RAW VALUES,150,223,310,383,406,456,610,601,2525,662,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:39,BASIC COUNTS,0.37,0.56,0.78,0.96,1.02,1.14,1.53,1.51,6.32,1.66,RAW VALUES,150,223,311,384,407,458,611,603,2531,664,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:40,BASIC COUNTS,0.38,0.56,0.78,0.96,1.02,1.15,1.53,1.51,6.34,1.66,RAW VALUES,151,224,311,385,408,459,613,604,2539,666,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:41,BASIC COUNTS,0.38,0.56,0.78,0.96,1.02,1.15,1.53,1.51,6.35,1.67,RAW VALUES,151,224,312,386,408,460,614,605,2542,667,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:43,BASIC COUNTS,0.38,0.56,0.78,0.97,1.02,1.15,1.54,1.52,6.37,1.67,RAW VALUES,151,225,313,387,409,461,616,607,2551,670,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:44,BASIC COUNTS,0.38,0.56,0.78,0.97,1.02,1.15,1.54,1.52,6.38,1.68,RAW VALUES,152,225,313,387,410,462,617,608,2554,671,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:45,BASIC COUNTS,0.38,0.56,0.78,0.97,1.02,1.15,1.54,1.52,6.37,1.67,RAW VALUES,152,225,313,387,410,461,617,608,2552,670,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:46,BASIC COUNTS,0.38,0.56,0.78,0.97,1.02,1.15,1.54,1.52,6.37,1.67,RAW VALUES,151,225,313,387,409,461,616,607,2549,669,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:48,BASIC COUNTS,0.38,0.56,0.78,0.96,1.02,1.15,1.54,1.51,6.35,1.67,RAW VALUES,151,224,312,386,408,460,615,606,2544,668,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:49,BASIC COUNTS,0.38,0.56,0.78,0.96,1.02,1.14,1.53,1.51,6.33,1.66,RAW VALUES,151,223,311,384,407,458,612,603,2533,665,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:50,BASIC COUNTS,0.37,0.56,0.78,0.96,1.01,1.14,1.53,1.5,6.31,1.66,RAW VALUES,150,223,311,384,406,457,611,602,2527,664,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:52,BASIC COUNTS,0.37,0.56,0.77,0.96,1.01,1.14,1.52,1.5,6.3,1.66,RAW VALUES,150,223,310,383,405,456,610,601,2523,663,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:53,BASIC COUNTS,0.37,0.55,0.77,0.96,1.01,1.14,1.52,1.5,6.3,1.66,RAW VALUES,150,222,310,383,405,456,609,601,2523,663,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:54,BASIC COUNTS,0.37,0.56,0.78,0.96,1.01,1.14,1.53,1.5,6.32,1.66,RAW VALUES,150,223,311,384,406,457,611,602,2529,664,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:55,BASIC COUNTS,0.38,0.56,0.78,0.96,1.02,1.15,1.53,1.51,6.34,1.67,RAW VALUES,151,224,312,385,408,459,613,605,2537,667,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:57,BASIC COUNTS,0.38,0.56,0.78,0.96,1.02,1.15,1.54,1.52,6.37,1.67,RAW VALUES,151,224,312,386,409,461,616,607,2549,670,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:58,BASIC COUNTS,0.38,0.56,0.78,0.97,1.03,1.15,1.54,1.52,6.39,1.68,RAW VALUES,152,225,314,388,411,462,618,609,2557,672,LED OFF
LED ON,2023/7/21 (Friday) ,14:22:59,BASIC COUNTS,0.38,0.56,0.78,0.97,1.03,1.16,1.55,1.53,6.4,1.68,RAW VALUES,152,226,314,389,411,463,619,611,2561,673,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:01,BASIC COUNTS,0.38,0.56,0.79,0.97,1.03,1.16,1.55,1.52,6.39,1.68,RAW VALUES,152,226,315,389,411,463,619,610,2560,673,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:02,BASIC COUNTS,0.38,0.56,0.78,0.97,1.02,1.15,1.54,1.52,6.37,1.67,RAW VALUES,151,225,313,387,410,462,617,608,2551,670,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:03,BASIC COUNTS,0.38,0.56,0.78,0.96,1.02,1.15,1.54,1.51,6.35,1.67,RAW VALUES,151,224,312,386,409,460,615,606,2544,668,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:04,BASIC COUNTS,0.38,0.56,0.78,0.97,1.02,1.15,1.54,1.52,6.36,1.67,RAW VALUES,151,224,313,387,409,461,616,607,2547,669,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:06,BASIC COUNTS,0.38,0.56,0.78,0.97,1.03,1.16,1.55,1.52,6.39,1.68,RAW VALUES,152,225,314,388,411,463,619,610,2559,673,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:07,BASIC COUNTS,0.38,0.56,0.79,0.97,1.03,1.16,1.55,1.53,6.4,1.68,RAW VALUES,152,226,315,389,412,464,620,612,2564,674,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:08,BASIC COUNTS,0.38,0.57,0.79,0.98,1.03,1.17,1.56,1.54,6.44,1.7,RAW VALUES,153,227,316,391,414,467,624,615,2579,679,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:10,BASIC COUNTS,0.38,0.57,0.79,0.98,1.04,1.17,1.56,1.54,6.45,1.7,RAW VALUES,153,227,317,392,415,468,625,616,2584,680,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:11,BASIC COUNTS,0.38,0.57,0.79,0.98,1.04,1.17,1.57,1.54,6.47,1.7,RAW VALUES,154,228,318,393,416,469,627,618,2591,682,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:12,BASIC COUNTS,0.38,0.57,0.79,0.98,1.04,1.17,1.57,1.55,6.48,1.71,RAW VALUES,154,228,318,394,417,470,628,619,2595,683,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:13,BASIC COUNTS,0.38,0.57,0.79,0.98,1.04,1.17,1.57,1.55,6.48,1.71,RAW VALUES,154,229,318,394,417,470,628,619,2594,683,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:15,BASIC COUNTS,0.38,0.57,0.8,0.98,1.04,1.18,1.57,1.55,6.5,1.71,RAW VALUES,154,229,319,394,418,471,629,621,2601,685,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:16,BASIC COUNTS,0.38,0.57,0.8,0.99,1.05,1.18,1.58,1.55,6.51,1.72,RAW VALUES,154,229,320,395,419,472,631,622,2607,687,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:17,BASIC COUNTS,0.39,0.57,0.8,0.99,1.05,1.18,1.58,1.56,6.54,1.72,RAW VALUES,155,230,320,396,420,474,633,624,2617,690,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:19,BASIC COUNTS,0.39,0.57,0.8,0.99,1.05,1.18,1.58,1.56,6.54,1.73,RAW VALUES,155,230,321,397,420,474,634,625,2617,691,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:20,BASIC COUNTS,0.39,0.57,0.8,0.99,1.05,1.18,1.58,1.56,6.55,1.73,RAW VALUES,155,230,321,397,421,474,634,626,2621,691,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:21,BASIC COUNTS,0.39,0.58,0.8,0.99,1.05,1.19,1.58,1.56,6.55,1.73,RAW VALUES,155,231,321,397,421,475,634,626,2621,692,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:22,BASIC COUNTS,0.39,0.58,0.8,1,1.05,1.19,1.59,1.57,6.56,1.73,RAW VALUES,156,231,322,399,422,476,636,627,2626,693,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:24,BASIC COUNTS,0.39,0.58,0.81,1,1.06,1.19,1.59,1.57,6.57,1.74,RAW VALUES,156,232,323,400,423,477,637,629,2632,695,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:25,BASIC COUNTS,0.39,0.58,0.81,1,1.06,1.19,1.6,1.57,6.59,1.74,RAW VALUES,156,232,323,400,424,478,639,630,2637,696,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:26,BASIC COUNTS,0.39,0.58,0.81,1,1.06,1.19,1.6,1.57,6.59,1.74,RAW VALUES,156,232,323,400,424,478,639,630,2638,697,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:28,BASIC COUNTS,0.39,0.58,0.81,1,1.06,1.19,1.59,1.57,6.58,1.74,RAW VALUES,156,232,323,400,423,477,638,630,2636,696,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:29,BASIC COUNTS,0.39,0.58,0.81,1,1.06,1.19,1.59,1.57,6.58,1.74,RAW VALUES,156,232,323,399,423,477,638,629,2633,695,LED OFF
LED ON,2023/7/21 (Friday) ,14:23:30,BASIC COUNTS,0.39,0.58,0.81,1,1.06,1.19,1.59,1.57,6.58,1.74,RAW VALUES,156,232,323,399,423,477,638,629,2636,696,LED OFF
