LED Status,Date,Time,Type,F1 (415nm),F2 (445nm),F3 (480nm),F4 (515nm),F5 (555nm),F6 (590nm),F7 (630nm),F8 (680nm),Clear (),NIR (),Type,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/21 (Friday) ,14:28:32,BASIC COUNTS,0.41,0.61,0.85,1.06,1.13,1.27,1.7,1.68,6.96,1.88,RAW VALUES,166,246,342,425,451,509,680,672,2785,751,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:33,BASIC COUNTS,0.41,0.62,0.86,1.07,1.13,1.28,1.71,1.68,6.98,1.88,RAW VALUES,166,247,344,427,453,511,683,674,2795,754,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:34,BASIC COUNTS,0.42,0.62,0.86,1.07,1.14,1.28,1.72,1.69,7.02,1.89,RAW VALUES,167,248,346,429,456,514,687,678,2812,758,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:35,BASIC COUNTS,0.42,0.62,0.87,1.07,1.14,1.29,1.72,1.7,7.03,1.9,RAW VALUES,168,249,347,430,457,515,687,679,2815,759,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:37,BASIC COUNTS,0.42,0.62,0.87,1.08,1.14,1.29,1.72,1.7,7.04,1.9,RAW VALUES,168,249,347,431,457,516,688,680,2820,760,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:38,BASIC COUNTS,0.42,0.62,0.87,1.08,1.14,1.29,1.72,1.7,7.03,1.9,RAW VALUES,168,249,347,431,456,515,687,679,2815,759,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:39,BASIC COUNTS,0.42,0.62,0.86,1.07,1.14,1.28,1.72,1.69,7.02,1.89,RAW VALUES,167,249,346,430,456,514,687,678,2812,758,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:41,BASIC COUNTS,0.42,0.62,0.86,1.07,1.13,1.28,1.71,1.69,6.99,1.89,RAW VALUES,167,248,345,428,454,512,684,675,2800,755,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:42,BASIC COUNTS,0.42,0.62,0.86,1.07,1.13,1.28,1.71,1.69,6.99,1.88,RAW VALUES,167,248,345,428,454,512,684,675,2800,754,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:43,BASIC COUNTS,0.41,0.62,0.86,1.07,1.13,1.28,1.7,1.68,6.97,1.88,RAW VALUES,166,247,344,427,453,511,682,673,2791,752,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:44,BASIC COUNTS,0.41,0.62,0.86,1.07,1.13,1.27,1.7,1.68,6.97,1.88,RAW VALUES,166,247,344,427,452,510,681,672,2789,752,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:46,BASIC COUNTS,0.41,0.62,0.86,1.06,1.13,1.27,1.7,1.68,6.96,1.88,RAW VALUES,166,247,344,426,452,510,680,672,2786,751,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:47,BASIC COUNTS,0.41,0.62,0.86,1.07,1.13,1.28,1.7,1.68,6.97,1.88,RAW VALUES,166,247,344,427,453,511,682,673,2791,753,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:48,BASIC COUNTS,0.42,0.62,0.86,1.07,1.13,1.28,1.71,1.69,6.99,1.89,RAW VALUES,167,247,345,428,454,512,684,675,2800,755,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:50,BASIC COUNTS,0.42,0.62,0.86,1.07,1.13,1.28,1.71,1.69,6.99,1.89,RAW VALUES,167,248,345,428,454,512,684,675,2799,756,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:51,BASIC COUNTS,0.42,0.62,0.86,1.07,1.13,1.28,1.71,1.69,6.99,1.89,RAW VALUES,167,248,345,428,454,512,684,675,2800,756,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:52,BASIC COUNTS,0.42,0.62,0.86,1.07,1.14,1.28,1.71,1.69,7.01,1.89,RAW VALUES,167,248,345,428,455,513,685,676,2805,757,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:53,BASIC COUNTS,0.42,0.62,0.86,1.07,1.14,1.28,1.71,1.69,7.01,1.89,RAW VALUES,167,248,346,429,455,513,685,677,2806,757,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:55,BASIC COUNTS,0.42,0.62,0.86,1.07,1.14,1.28,1.71,1.69,7.02,1.89,RAW VALUES,167,248,346,430,456,514,686,678,2810,758,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:56,BASIC COUNTS,0.42,0.62,0.87,1.08,1.14,1.29,1.72,1.7,7.04,1.9,RAW VALUES,168,249,347,431,457,516,688,680,2820,761,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:57,BASIC COUNTS,0.42,0.62,0.87,1.08,1.14,1.29,1.72,1.7,7.04,1.9,RAW VALUES,168,249,347,431,457,516,688,680,2818,761,LED OFF
LED ON,2023/7/21 (Friday) ,14:28:59,BASIC COUNTS,0.42,0.62,0.87,1.08,1.14,1.29,1.72,1.7,7.05,1.9,RAW VALUES,168,249,347,431,458,516,689,681,2821,762,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:00,BASIC COUNTS,0.42,0.62,0.87,1.08,1.14,1.29,1.72,1.7,7.04,1.9,RAW VALUES,168,249,347,431,457,516,688,680,2817,761,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:01,BASIC COUNTS,0.42,0.62,0.86,1.07,1.14,1.28,1.71,1.69,7.02,1.89,RAW VALUES,168,248,346,430,456,514,686,678,2809,758,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:02,BASIC COUNTS,0.42,0.62,0.86,1.07,1.13,1.28,1.71,1.69,6.99,1.89,RAW VALUES,167,248,345,428,454,512,684,675,2800,756,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:04,BASIC COUNTS,0.42,0.62,0.86,1.07,1.13,1.28,1.71,1.69,6.99,1.89,RAW VALUES,167,247,344,427,454,512,683,675,2797,755,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:05,BASIC COUNTS,0.41,0.62,0.86,1.07,1.13,1.28,1.7,1.68,6.97,1.88,RAW VALUES,166,247,344,427,453,511,682,674,2792,754,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:06,BASIC COUNTS,0.41,0.61,0.86,1.06,1.13,1.27,1.7,1.68,6.95,1.88,RAW VALUES,166,246,343,426,451,509,680,671,2781,751,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:08,BASIC COUNTS,0.41,0.61,0.85,1.06,1.13,1.27,1.7,1.68,6.94,1.87,RAW VALUES,166,246,342,425,451,509,679,671,2779,750,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:09,BASIC COUNTS,0.41,0.61,0.86,1.06,1.13,1.27,1.7,1.68,6.94,1.87,RAW VALUES,166,246,343,425,451,509,679,671,2779,750,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:10,BASIC COUNTS,0.41,0.61,0.85,1.06,1.13,1.27,1.69,1.67,6.93,1.87,RAW VALUES,166,246,342,425,451,508,678,670,2776,749,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:11,BASIC COUNTS,0.41,0.61,0.85,1.06,1.12,1.27,1.69,1.67,6.93,1.87,RAW VALUES,165,245,342,424,450,508,678,669,2773,749,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:13,BASIC COUNTS,0.41,0.61,0.85,1.06,1.12,1.27,1.69,1.67,6.92,1.87,RAW VALUES,165,245,342,424,450,507,677,669,2771,748,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:14,BASIC COUNTS,0.41,0.61,0.85,1.06,1.12,1.26,1.69,1.67,6.91,1.86,RAW VALUES,165,245,341,423,449,506,676,667,2767,746,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:15,BASIC COUNTS,0.41,0.61,0.85,1.06,1.12,1.26,1.68,1.66,6.9,1.86,RAW VALUES,165,244,341,423,448,505,674,666,2761,745,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:17,BASIC COUNTS,0.41,0.61,0.85,1.05,1.11,1.26,1.68,1.66,6.87,1.85,RAW VALUES,164,244,339,421,446,503,672,664,2752,742,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:18,BASIC COUNTS,0.41,0.61,0.85,1.05,1.11,1.26,1.68,1.66,6.86,1.85,RAW VALUES,164,243,339,420,446,503,671,663,2746,741,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:19,BASIC COUNTS,0.41,0.61,0.84,1.05,1.11,1.26,1.68,1.65,6.86,1.85,RAW VALUES,164,243,338,420,446,503,671,662,2745,741,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:20,BASIC COUNTS,0.41,0.6,0.84,1.05,1.11,1.25,1.67,1.65,6.85,1.85,RAW VALUES,163,242,338,419,445,502,670,662,2742,740,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:22,BASIC COUNTS,0.41,0.61,0.84,1.05,1.11,1.25,1.67,1.65,6.85,1.85,RAW VALUES,163,243,338,419,445,502,670,662,2741,740,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:23,BASIC COUNTS,0.41,0.6,0.84,1.05,1.11,1.25,1.67,1.65,6.83,1.84,RAW VALUES,163,242,337,419,444,501,669,660,2735,738,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:24,BASIC COUNTS,0.41,0.6,0.84,1.04,1.11,1.25,1.67,1.65,6.81,1.84,RAW VALUES,163,242,336,418,443,500,667,659,2728,736,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:26,BASIC COUNTS,0.4,0.6,0.84,1.04,1.1,1.24,1.66,1.64,6.8,1.83,RAW VALUES,162,241,335,416,442,498,665,657,2721,734,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:27,BASIC COUNTS,0.4,0.6,0.84,1.04,1.1,1.24,1.66,1.64,6.78,1.83,RAW VALUES,162,240,335,416,441,497,664,655,2716,733,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:28,BASIC COUNTS,0.4,0.6,0.84,1.04,1.1,1.24,1.66,1.64,6.79,1.83,RAW VALUES,162,241,335,416,441,498,664,656,2718,733,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:29,BASIC COUNTS,0.4,0.6,0.84,1.04,1.1,1.24,1.66,1.64,6.78,1.83,RAW VALUES,162,240,335,416,441,497,664,655,2716,732,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:31,BASIC COUNTS,0.4,0.6,0.84,1.04,1.1,1.24,1.66,1.64,6.79,1.83,RAW VALUES,162,240,335,416,441,497,664,656,2717,733,LED OFF
LED ON,2023/7/21 (Friday) ,14:29:32,BASIC COUNTS,0.4,0.6,0.84,1.04,1.1,1.24,1.66,1.64,6.78,1.83,RAW VALUES,162,240,335,416,441,497,663,655,2714,732,LED OFF
