LED Status,Date,Time,Type,F1 (415nm),F2 (445nm),F3 (480nm),F4 (515nm),F5 (555nm),F6 (590nm),F7 (630nm),F8 (680nm),Clear (),NIR (),Type,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/21 (Friday) ,12:08:49,BASIC COUNTS,0.42,0.63,0.88,1.09,1.16,1.3,1.73,1.72,6.75,1.83,RAW VALUES,170,254,354,438,465,521,693,687,2702,734,LED OFF
LED ON,2023/7/21 (Friday) ,12:08:50,BASIC COUNTS,0.42,0.63,0.89,1.09,1.16,1.3,1.73,1.72,6.75,1.83,RAW VALUES,170,254,355,438,465,521,692,687,2702,734,LED OFF
LED ON,2023/7/21 (Friday) ,12:08:52,BASIC COUNTS,0.43,0.64,0.89,1.1,1.16,1.31,1.73,1.72,6.77,1.84,RAW VALUES,171,255,355,439,466,523,694,688,2709,736,LED OFF
LED ON,2023/7/21 (Friday) ,12:08:53,BASIC COUNTS,0.43,0.64,0.89,1.1,1.16,1.31,1.73,1.72,6.76,1.84,RAW VALUES,171,255,356,440,466,523,694,688,2708,736,LED OFF
LED ON,2023/7/21 (Friday) ,12:08:54,BASIC COUNTS,0.42,0.64,0.89,1.1,1.16,1.3,1.73,1.72,6.75,1.83,RAW VALUES,170,255,355,439,465,522,692,687,2704,734,LED OFF
LED ON,2023/7/21 (Friday) ,12:08:56,BASIC COUNTS,0.42,0.63,0.89,1.09,1.16,1.3,1.73,1.71,6.74,1.83,RAW VALUES,170,254,355,438,465,521,691,685,2698,733,LED OFF
LED ON,2023/7/21 (Friday) ,12:08:57,BASIC COUNTS,0.42,0.63,0.88,1.09,1.16,1.3,1.72,1.71,6.71,1.82,RAW VALUES,170,254,353,437,463,519,688,683,2688,730,LED OFF
LED ON,2023/7/21 (Friday) ,12:08:58,BASIC COUNTS,0.42,0.63,0.88,1.09,1.15,1.29,1.72,1.7,6.7,1.82,RAW VALUES,169,253,352,435,462,518,687,681,2681,728,LED OFF
LED ON,2023/7/21 (Friday) ,12:08:59,BASIC COUNTS,0.42,0.63,0.88,1.08,1.15,1.29,1.71,1.69,6.67,1.81,RAW VALUES,169,252,351,434,459,515,683,678,2669,725,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:01,BASIC COUNTS,0.42,0.63,0.87,1.08,1.15,1.28,1.7,1.69,6.66,1.81,RAW VALUES,168,251,350,433,459,514,682,677,2667,725,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:02,BASIC COUNTS,0.42,0.63,0.87,1.08,1.15,1.28,1.7,1.69,6.66,1.81,RAW VALUES,168,251,350,432,459,514,682,677,2665,724,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:03,BASIC COUNTS,0.42,0.63,0.87,1.08,1.14,1.28,1.7,1.69,6.66,1.81,RAW VALUES,168,251,350,433,458,514,682,677,2665,725,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:05,BASIC COUNTS,0.42,0.63,0.87,1.08,1.14,1.28,1.7,1.69,6.64,1.81,RAW VALUES,168,251,349,432,457,513,681,675,2658,723,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:06,BASIC COUNTS,0.42,0.62,0.87,1.07,1.14,1.28,1.69,1.68,6.61,1.8,RAW VALUES,167,250,348,430,456,511,678,673,2648,720,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:07,BASIC COUNTS,0.41,0.62,0.86,1.07,1.13,1.27,1.68,1.67,6.58,1.79,RAW VALUES,166,249,346,428,453,508,674,669,2634,716,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:08,BASIC COUNTS,0.41,0.62,0.86,1.07,1.13,1.27,1.68,1.67,6.56,1.78,RAW VALUES,166,248,345,427,452,507,672,667,2626,714,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:10,BASIC COUNTS,0.41,0.62,0.86,1.07,1.13,1.27,1.68,1.67,6.57,1.79,RAW VALUES,166,248,346,427,453,508,673,668,2631,715,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:11,BASIC COUNTS,0.42,0.62,0.87,1.07,1.14,1.28,1.69,1.68,6.61,1.8,RAW VALUES,167,250,347,430,456,511,677,672,2647,720,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:12,BASIC COUNTS,0.42,0.63,0.88,1.08,1.15,1.29,1.71,1.69,6.67,1.82,RAW VALUES,168,252,351,433,459,515,683,678,2669,727,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:14,BASIC COUNTS,0.42,0.63,0.88,1.09,1.15,1.3,1.72,1.71,6.72,1.83,RAW VALUES,169,253,353,436,462,519,688,683,2689,733,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:15,BASIC COUNTS,0.42,0.63,0.88,1.09,1.16,1.3,1.72,1.71,6.74,1.84,RAW VALUES,170,254,354,438,464,520,690,685,2697,735,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:16,BASIC COUNTS,0.42,0.63,0.88,1.09,1.16,1.3,1.72,1.71,6.73,1.84,RAW VALUES,170,254,354,437,464,520,690,684,2696,735,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:17,BASIC COUNTS,0.42,0.63,0.88,1.09,1.16,1.3,1.72,1.71,6.72,1.83,RAW VALUES,169,253,353,436,463,519,688,683,2689,733,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:19,BASIC COUNTS,0.42,0.63,0.87,1.08,1.14,1.28,1.7,1.69,6.65,1.81,RAW VALUES,168,252,350,433,458,514,682,676,2664,726,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:20,BASIC COUNTS,0.41,0.62,0.86,1.07,1.13,1.27,1.68,1.67,6.57,1.79,RAW VALUES,166,249,346,427,452,507,673,667,2630,716,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:21,BASIC COUNTS,0.41,0.61,0.85,1.05,1.1,1.24,1.64,1.63,6.42,1.75,RAW VALUES,163,244,339,419,442,496,658,653,2572,699,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:23,BASIC COUNTS,0.4,0.6,0.83,1.03,1.09,1.22,1.61,1.6,6.31,1.71,RAW VALUES,160,239,333,411,435,487,646,640,2526,686,LED OFF
LED ON,2023/7/21 (Friday) ,12:09:24,BASIC COUNTS,0.4,0.59,0.82,1.02,1.08,1.21,1.6,1.59,6.27,1.7,RAW VALUES,160,237,330,408,432,484,642,637,2510,681,LED OFF
