LED Status,Date,Time,Type,F1 (415nm),F2 (445nm),F3 (480nm),F4 (515nm),F5 (555nm),F6 (590nm),F7 (630nm),F8 (680nm),Clear (),NIR (),Type,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/20 (Thursday) ,14:15:41,BASIC COUNTS,0.03,0.04,0.04,0.05,0.04,0.04,0.05,0.06,0.32,0.1,RAW VALUES,1990,2682,3147,3381,3169,3184,3863,4030,23318,7084,LED OFF
LED ON,2023/7/20 (Thursday) ,14:15:43,BASIC COUNTS,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.31,0.1,RAW VALUES,1891,2548,2989,3214,2975,3002,3654,3862,22286,7018,LED OFF
LED ON,2023/7/20 (Thursday) ,14:15:45,BASIC COUNTS,0.03,0.04,0.04,0.05,0.04,0.05,0.06,0.06,0.33,0.1,RAW VALUES,1965,2648,3114,3350,3209,3241,3957,4157,23642,7230,LED OFF
LED ON,2023/7/20 (Thursday) ,14:15:46,BASIC COUNTS,0.03,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.34,0.1,RAW VALUES,2077,2805,3301,3556,3349,3374,4108,4285,24355,7282,LED OFF
LED ON,2023/7/20 (Thursday) ,14:15:48,BASIC COUNTS,0.03,0.04,0.04,0.05,0.04,0.04,0.05,0.06,0.33,0.1,RAW VALUES,2009,2708,3181,3416,3194,3215,3911,4095,23487,7146,LED OFF
LED ON,2023/7/20 (Thursday) ,14:15:50,BASIC COUNTS,0.03,0.04,0.04,0.05,0.04,0.04,0.05,0.06,0.33,0.1,RAW VALUES,2014,2715,3190,3427,3216,3234,3935,4113,23579,7141,LED OFF
LED ON,2023/7/20 (Thursday) ,14:15:51,BASIC COUNTS,0.03,0.04,0.04,0.05,0.04,0.04,0.05,0.06,0.33,0.1,RAW VALUES,2012,2713,3185,3424,3215,3232,3931,4107,23517,7102,LED OFF
LED ON,2023/7/20 (Thursday) ,14:15:53,BASIC COUNTS,0.03,0.04,0.04,0.05,0.04,0.04,0.05,0.06,0.33,0.1,RAW VALUES,2000,2699,3172,3408,3202,3223,3925,4095,23424,7064,LED OFF
LED ON,2023/7/20 (Thursday) ,14:15:54,BASIC COUNTS,0.03,0.04,0.04,0.05,0.04,0.04,0.05,0.06,0.33,0.1,RAW VALUES,2009,2709,3184,3419,3196,3216,3915,4087,23378,7046,LED OFF
LED ON,2023/7/20 (Thursday) ,14:15:56,BASIC COUNTS,0.03,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.35,0.1,RAW VALUES,2126,2872,3382,3634,3462,3483,4242,4398,24884,7286,LED OFF
LED ON,2023/7/20 (Thursday) ,14:15:58,BASIC COUNTS,0.03,0.04,0.04,0.05,0.04,0.05,0.06,0.06,0.33,0.1,RAW VALUES,1989,2687,3168,3418,3214,3249,3969,4173,23597,7206,LED OFF
LED ON,2023/7/20 (Thursday) ,14:15:59,BASIC COUNTS,0.03,0.04,0.04,0.05,0.04,0.04,0.05,0.05,0.31,0.1,RAW VALUES,1922,2593,3042,3266,3054,3075,3736,3916,22567,6920,LED OFF
LED ON,2023/7/20 (Thursday) ,14:16:01,BASIC COUNTS,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.31,0.09,RAW VALUES,1876,2528,2969,3193,2955,2982,3625,3821,21948,6798,LED OFF
LED ON,2023/7/20 (Thursday) ,14:16:03,BASIC COUNTS,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.3,0.09,RAW VALUES,1842,2486,2918,3139,2938,2966,3609,3809,21871,6806,LED OFF
LED ON,2023/7/20 (Thursday) ,14:16:04,BASIC COUNTS,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.31,0.1,RAW VALUES,1865,2514,2951,3174,2981,3007,3655,3850,22144,6854,LED OFF
LED ON,2023/7/20 (Thursday) ,14:16:06,BASIC COUNTS,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.3,0.09,RAW VALUES,1827,2463,2892,3111,2923,2953,3592,3792,21717,6700,LED OFF
LED ON,2023/7/20 (Thursday) ,14:16:08,BASIC COUNTS,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.3,0.09,RAW VALUES,1842,2484,2917,3136,2954,2981,3623,3822,21884,6716,LED OFF
LED ON,2023/7/20 (Thursday) ,14:16:09,BASIC COUNTS,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.3,0.09,RAW VALUES,1846,2489,2922,3140,2920,2952,3588,3794,21710,6708,LED OFF
LED ON,2023/7/20 (Thursday) ,14:16:11,BASIC COUNTS,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.3,0.09,RAW VALUES,1818,2450,2875,3098,2890,2922,3556,3767,21543,6704,LED OFF
LED ON,2023/7/20 (Thursday) ,14:16:13,BASIC COUNTS,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.3,0.09,RAW VALUES,1818,2449,2875,3095,2893,2924,3560,3765,21547,6688,LED OFF
