LED Status,Date,Time,Type,F1 (415nm),F2 (445nm),F3 (480nm),F4 (515nm),F5 (555nm),F6 (590nm),F7 (630nm),F8 (680nm),Clear (),NIR (),Type,F1 415nm,F2 445nm,F3 480nm,F4 515nm,F5 555nm,F6 590nm,F7 630nm,F8 680nm,Clear,NIR,
LED ON,2023/7/12 (Wednesday) ,15:55:33,BASIC COUNTS,0.03,0.14,0.16,0.23,0.37,0.43,0.37,0.22,0.88,0.07,RAW VALUES,2146,10204,11314,16415,26498,30653,26816,16158,63250,5238,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:35,BASIC COUNTS,0.03,0.14,0.16,0.23,0.37,0.43,0.37,0.23,0.88,0.07,RAW VALUES,2149,10208,11324,16427,26510,30684,26646,16187,63022,5216,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:36,BASIC COUNTS,0.03,0.14,0.16,0.23,0.37,0.43,0.37,0.23,0.87,0.07,RAW VALUES,2147,10207,11318,16401,26510,30681,26547,16185,62688,5180,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:37,BASIC COUNTS,0.03,0.14,0.16,0.23,0.37,0.43,0.37,0.22,0.85,0.07,RAW VALUES,2150,10209,11324,16417,26464,30628,26506,16150,61234,5072,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:39,BASIC COUNTS,0.03,0.14,0.16,0.23,0.37,0.43,0.39,0.23,0.91,0.08,RAW VALUES,2159,10231,11364,16499,26621,30751,27677,16237,65535,5436,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:40,BASIC COUNTS,0.03,0.14,0.16,0.23,0.37,0.43,0.36,0.22,0.84,0.07,RAW VALUES,2137,10192,11282,16359,26440,30628,26146,16125,60079,5002,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:41,BASIC COUNTS,0.03,0.14,0.16,0.23,0.37,0.43,0.36,0.22,0.84,0.07,RAW VALUES,2139,10191,11285,16368,26438,30631,26134,16118,60074,4992,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:43,BASIC COUNTS,0.03,0.14,0.16,0.23,0.37,0.43,0.37,0.22,0.84,0.07,RAW VALUES,2140,10199,11291,16368,26464,30635,26255,16141,60407,5036,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:44,BASIC COUNTS,0.03,0.14,0.16,0.23,0.37,0.43,0.37,0.22,0.85,0.07,RAW VALUES,2140,10201,11305,16388,26483,30657,26395,16157,61032,5094,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:46,BASIC COUNTS,0.03,0.14,0.16,0.23,0.37,0.43,0.37,0.22,0.85,0.07,RAW VALUES,2143,10204,11301,16389,26483,30660,26385,16154,61020,5094,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:47,BASIC COUNTS,0.03,0.14,0.16,0.23,0.37,0.43,0.37,0.22,0.85,0.07,RAW VALUES,2141,10202,11300,16395,26477,30659,26419,16143,61085,5106,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:48,BASIC COUNTS,0.03,0.14,0.16,0.23,0.13,0.17,0.15,0.08,0.38,0.04,RAW VALUES,2151,10215,11334,16429,9588,11885,10814,6014,27121,2940,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:50,BASIC COUNTS,0,0,0,0.01,0.01,0.02,0.02,0.02,0.03,0.01,RAW VALUES,124,238,342,470,879,1260,1461,1091,2118,426,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:51,BASIC COUNTS,0,0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,RAW VALUES,148,337,455,656,1004,1424,1574,1160,1574,372,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:52,BASIC COUNTS,0,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.03,0.01,RAW VALUES,171,426,550,842,1290,1761,1948,1341,2193,464,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:54,BASIC COUNTS,0.03,0.14,0.16,0.23,0.37,0.43,0.37,0.23,0.87,0.07,RAW VALUES,2150,10214,11329,16434,26550,30702,26773,16192,62878,5238,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:55,BASIC COUNTS,0.03,0.14,0.16,0.23,0.37,0.43,0.37,0.23,0.88,0.07,RAW VALUES,2149,10214,11327,16421,26532,30707,26783,16192,62959,5242,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:56,BASIC COUNTS,0.03,0.14,0.16,0.23,0.37,0.43,0.37,0.23,0.88,0.07,RAW VALUES,2150,10213,11331,16432,26551,30706,26872,16195,63297,5262,LED OFF
LED ON,2023/7/12 (Wednesday) ,15:55:58,BASIC COUNTS,0.03,0.14,0.16,0.23,0.37,0.43,0.37,0.23,0.88,0.07,RAW VALUES,2149,10217,11330,16435,26554,30704,26897,16194,63301,5268,LED OFF
